datetime,MaxTemp,MinTemp,MeanTemp
1943-09-29,28.33333333,22.22222222,25.55555556
1943-09-30,26.66666667,21.66666667,24.44444444
1943-10-01,30.0,21.66666667,25.55555556
1943-10-02,28.88888889,22.22222222,25.55555556
1943-10-03,28.33333333,22.22222222,25.55555556
1943-10-04,25.55555556,22.22222222,23.88888889
1943-10-05,27.22222222,22.22222222,24.44444444
1943-10-06,28.88888889,21.66666667,25.55555556
1943-10-07,27.77777778,22.22222222,25.0
1943-10-08,26.11111111,22.22222222,24.44444444
1943-10-09,27.77777778,22.22222222,25.0
1943-10-10,27.22222222,22.77777778,25.0
1943-10-11,28.88888889,22.77777778,25.55555556
1943-10-12,29.44444444,23.88888889,26.66666667
1943-10-13,28.88888889,22.22222222,25.55555556
1943-10-14,25.55555556,21.66666667,23.33333333
1943-10-15,28.33333333,21.66666667,25.0
1943-10-16,28.88888889,22.22222222,25.55555556
1943-10-17,28.88888889,23.33333333,26.11111111
1943-10-18,28.88888889,23.33333333,26.11111111
1943-10-19,28.88888889,20.55555556,24.44444444
1943-10-20,30.0,20.55555556,25.55555556
1943-10-21,29.44444444,22.77777778,26.11111111
1943-10-22,28.88888889,21.11111111,25.0
1943-10-23,28.88888889,22.77777778,25.55555556
1943-10-24,30.0,22.22222222,26.11111111
1943-10-25,28.33333333,22.22222222,25.55555556
1943-10-26,28.88888889,23.88888889,26.66666667
1943-10-27,29.44444444,22.77777778,26.11111111
1943-10-28,29.44444444,22.77777778,26.11111111
1943-10-29,29.44444444,22.22222222,25.55555556
1943-10-30,29.44444444,22.22222222,25.55555556
1943-10-31,30.0,22.22222222,26.11111111
1943-11-01,31.66666667,24.44444444,27.77777778
1943-11-02,29.44444444,23.33333333,26.66666667
1943-11-03,29.44444444,22.22222222,25.55555556
1943-11-04,27.77777778,22.77777778,25.55555556
1943-11-05,27.22222222,22.77777778,25.0
1943-11-06,29.44444444,23.33333333,26.66666667
1943-11-07,29.44444444,23.33333333,26.66666667
1943-11-08,30.55555556,22.22222222,26.66666667
1943-11-09,29.44444444,22.77777778,26.11111111
1943-11-10,28.88888889,23.88888889,26.66666667
1943-11-11,27.22222222,23.33333333,25.55555556
1943-11-12,27.22222222,23.88888889,25.55555556
1943-11-13,28.33333333,22.77777778,25.55555556
1943-11-14,28.33333333,22.22222222,25.55555556
1943-11-15,27.77777778,21.11111111,24.44444444
1943-11-16,29.44444444,22.22222222,26.11111111
1943-11-17,29.44444444,22.22222222,26.11111111
1943-11-18,29.44444444,23.88888889,26.66666667
1943-11-19,29.44444444,24.44444444,26.66666667
1943-11-20,30.55555556,23.88888889,27.22222222
1943-11-21,31.11111111,23.33333333,27.22222222
1943-11-22,31.11111111,23.88888889,27.77777778
1943-11-23,31.11111111,26.11111111,28.88888889
1943-11-24,30.55555556,25.0,27.77777778
1943-11-25,29.44444444,24.44444444,26.66666667
1943-11-26,30.55555556,23.88888889,27.22222222
1943-11-27,31.11111111,23.88888889,25.0
1943-11-28,30.55555556,23.88888889,27.77777778
1943-11-29,30.55555556,23.88888889,27.77777778
1943-11-30,30.55555556,23.88888889,27.77777778
1943-12-01,31.11111111,23.33333333,27.22222222
1943-12-02,31.66666667,23.33333333,27.77777778
1943-12-03,31.11111111,23.33333333,27.22222222
1943-12-04,29.44444444,23.33333333,26.66666667
1943-12-05,31.66666667,23.88888889,27.77777778
1943-12-06,31.11111111,27.22222222,28.88888889
1943-12-07,29.44444444,22.22222222,26.11111111
1943-12-08,31.11111111,22.77777778,26.66666667
1943-12-09,31.11111111,23.88888889,27.77777778
1943-12-10,31.11111111,23.88888889,27.77777778
1943-12-11,31.11111111,23.88888889,27.77777778
1943-12-12,31.66666667,23.33333333,27.77777778
1943-12-13,30.55555556,23.88888889,27.22222222
1943-12-14,30.55555556,24.44444444,27.77777778
1943-12-15,31.11111111,23.88888889,27.77777778
1943-12-16,30.55555556,22.77777778,27.22222222
1943-12-17,30.55555556,23.88888889,27.22222222
1943-12-18,30.55555556,23.88888889,27.22222222
1943-12-19,32.22222222,23.88888889,28.33333333
1943-12-20,31.11111111,22.77777778,26.66666667
1943-12-21,31.66666667,23.33333333,27.77777778
1943-12-22,30.55555556,24.44444444,27.77777778
1943-12-23,31.11111111,27.22222222,28.88888889
1943-12-24,30.0,23.88888889,26.66666667
1943-12-25,28.88888889,23.33333333,26.11111111
1943-12-26,29.44444444,23.88888889,26.66666667
1943-12-27,31.66666667,23.88888889,27.77777778
1943-12-28,31.11111111,24.44444444,27.77777778
1943-12-29,30.55555556,23.33333333,26.66666667
1943-12-30,29.44444444,24.44444444,26.66666667
1943-12-31,30.0,23.88888889,26.66666667
1944-01-01,31.11111111,23.88888889,27.77777778
1944-01-02,30.0,21.11111111,25.55555556
1944-01-03,28.88888889,21.66666667,25.55555556
1944-01-04,30.55555556,23.33333333,26.66666667
1944-01-05,30.55555556,23.88888889,27.22222222
1944-01-06,28.88888889,23.33333333,26.11111111
1944-01-07,29.44444444,22.22222222,25.55555556
1944-01-08,30.0,23.88888889,26.66666667
1944-01-09,30.0,23.88888889,26.66666667
1944-01-10,30.55555556,23.33333333,26.66666667
1944-01-11,30.55555556,23.88888889,27.22222222
1944-01-12,30.0,23.88888889,26.66666667
1944-01-13,30.0,25.0,27.77777778
1944-01-14,30.0,23.88888889,26.66666667
1944-01-15,29.44444444,23.88888889,26.66666667
1944-01-16,30.0,23.88888889,26.66666667
1944-01-17,30.0,23.88888889,26.66666667
1944-01-18,29.44444444,23.88888889,26.66666667
1944-01-19,30.55555556,23.88888889,27.22222222
1944-01-20,30.0,24.44444444,27.22222222
1944-01-21,29.44444444,23.88888889,26.66666667
1944-01-22,29.44444444,19.44444444,24.44444444
1944-01-23,30.0,20.0,25.0
1944-01-24,28.88888889,22.22222222,25.55555556
1944-01-25,29.44444444,21.66666667,25.0
1944-01-26,29.44444444,22.22222222,25.55555556
1944-01-27,28.88888889,23.33333333,26.11111111
1944-01-28,28.88888889,23.33333333,26.11111111
1944-01-29,30.0,22.77777778,26.66666667
1944-01-30,29.44444444,21.11111111,25.55555556
1944-01-31,29.44444444,20.0,24.44444444
1944-02-01,28.88888889,20.0,24.44444444
1944-02-02,30.0,20.55555556,25.55555556
1944-02-03,30.0,20.0,25.0
1944-02-04,31.11111111,20.0,25.55555556
1944-02-05,31.11111111,20.0,25.55555556
1944-02-06,30.0,19.44444444,25.0
1944-02-07,30.0,20.55555556,25.55555556
1944-02-08,31.11111111,21.66666667,26.66666667
1944-02-09,29.44444444,21.66666667,25.55555556
1944-02-10,31.11111111,24.44444444,27.77777778
1944-02-11,30.55555556,22.77777778,26.66666667
1944-02-12,31.66666667,23.88888889,27.77777778
1944-02-13,31.11111111,23.88888889,27.77777778
1944-02-14,31.11111111,25.0,27.77777778
1944-02-15,30.55555556,25.55555556,27.77777778
1944-02-16,31.66666667,25.55555556,28.88888889
1944-02-17,30.55555556,20.55555556,25.55555556
1944-02-18,30.0,23.33333333,26.66666667
1944-02-19,30.55555556,21.66666667,26.11111111
1944-02-20,30.55555556,25.0,27.77777778
1944-02-21,30.55555556,26.11111111,28.33333333
1944-02-22,31.11111111,21.11111111,26.11111111
1944-02-23,29.44444444,22.22222222,25.55555556
1944-02-24,30.0,22.22222222,26.11111111
1944-02-25,30.55555556,24.44444444,27.77777778
1944-02-26,29.44444444,25.55555556,27.77777778
1944-02-27,29.44444444,22.77777778,26.11111111
1944-02-28,29.44444444,23.33333333,26.66666667
1944-02-29,31.66666667,23.88888889,27.77777778
1944-03-01,30.55555556,26.11111111,28.33333333
1944-03-02,30.55555556,25.0,27.77777778
1944-03-03,27.77777778,23.33333333,25.55555556
1944-03-04,30.0,22.77777778,26.11111111
1944-03-05,29.44444444,25.55555556,27.22222222
1944-03-06,30.0,23.88888889,26.66666667
1944-03-07,28.88888889,21.11111111,25.0
1944-03-08,28.88888889,22.22222222,25.55555556
1944-03-09,30.0,24.44444444,27.22222222
1944-03-10,30.55555556,25.55555556,27.77777778
1944-03-11,31.11111111,25.55555556,28.33333333
1944-03-12,30.55555556,25.0,27.77777778
1944-03-13,31.11111111,27.77777778,29.44444444
1944-03-14,31.11111111,28.33333333,29.44444444
1944-03-15,30.0,27.77777778,28.88888889
1944-03-16,30.55555556,26.66666667,28.88888889
1944-03-17,30.55555556,23.33333333,26.66666667
1944-03-18,30.55555556,24.44444444,27.77777778
1944-03-19,31.11111111,25.55555556,28.33333333
1944-03-20,30.55555556,24.44444444,27.22222222
1944-03-21,29.44444444,25.55555556,27.77777778
1944-03-22,30.55555556,25.55555556,27.77777778
1944-03-23,28.88888889,24.44444444,26.66666667
1944-03-24,29.44444444,23.88888889,26.66666667
1944-03-25,30.55555556,24.44444444,27.22222222
1944-03-26,27.77777778,23.88888889,25.55555556
1944-03-27,30.0,22.22222222,26.11111111
1944-03-28,30.0,24.44444444,27.22222222
1944-03-29,31.66666667,25.0,28.33333333
1944-03-30,30.55555556,26.11111111,28.33333333
1944-03-31,31.11111111,23.88888889,27.77777778
1944-04-01,30.0,22.77777778,26.11111111
1944-04-02,30.0,23.33333333,26.66666667
1944-04-03,30.0,22.22222222,26.11111111
1944-04-04,31.11111111,24.44444444,27.77777778
1944-04-05,31.11111111,25.0,27.77777778
1944-04-06,31.66666667,27.22222222,29.44444444
1944-04-07,31.11111111,26.66666667,28.88888889
1944-04-08,31.11111111,25.0,27.77777778
1944-04-09,31.11111111,25.0,27.77777778
1944-04-10,31.11111111,26.66666667,28.88888889
1944-04-11,31.66666667,27.22222222,29.44444444
1944-04-12,31.66666667,27.22222222,29.44444444
1944-04-13,32.22222222,24.44444444,28.33333333
1944-04-14,31.66666667,25.0,28.33333333
1944-04-16,31.11111111,27.22222222,28.88888889
1944-04-17,31.66666667,28.33333333,30.0
1944-04-18,28.88888889,23.33333333,26.11111111
1944-04-19,31.11111111,23.33333333,27.22222222
1944-04-20,31.11111111,27.22222222,28.88888889
1944-04-21,31.11111111,25.0,27.77777778
